x_,y_,t_,sex,id,name
590128.973952254,4732943.09809059,2009/02/11 21:45:06.001+00,M,M1,Leroy
590138.267420138,4732939.16551048,2009/02/11 22:00:23+00,M,M1,Leroy
590135.816058841,4732933.80246117,2009/02/11 22:15:15.001+00,M,M1,Leroy
590131.479866128,4732939.88771898,2009/02/11 22:30:49+00,M,M1,Leroy
590133.057853409,4732943.17358409,2009/02/11 22:45:23+00,M,M1,Leroy
590124.081427438,4732922.17647079,2009/02/11 23:00:19.999+00,M,M1,Leroy
590133.916471395,4732932.57818745,2009/02/11 23:15:15.998+00,M,M1,Leroy
590136.398267033,4732931.84422699,2009/02/11 23:30:26+00,M,M1,Leroy
590136.367687411,4732939.20736218,2009/02/11 23:45:09+00,M,M1,Leroy
590140.027793214,4732939.76601139,2009/02/12 00:00:05.999+00,M,M1,Leroy
590133.589581645,4732936.92762596,2009/02/12 00:15:38.998+00,M,M1,Leroy
590141.678010133,4732935.63375471,2009/02/12 00:30:39.001+00,M,M1,Leroy
590133.456629415,4732913.23596986,2009/02/12 00:45:19.998+00,M,M1,Leroy
590131.942640889,4732931.39737119,2009/02/12 01:00:11.998+00,M,M1,Leroy
590137.854214679,4732931.30790395,2009/02/12 01:15:09.998+00,M,M1,Leroy
590134.757328864,4732932.75575388,2009/02/12 01:30:22.001+00,M,M1,Leroy
590133.534100217,4732936.16056145,2009/02/12 01:45:12+00,M,M1,Leroy
590119.153260723,4732936.61712191,2009/02/12 02:00:08.998+00,M,M1,Leroy
590461.585841562,4733121.23842561,2009/02/12 02:15:30.001+00,M,M1,Leroy
590655.764338219,4733111.92229422,2009/02/12 02:30:13.999+00,M,M1,Leroy
590845.335973651,4733096.9200633,2009/02/12 02:45:58.999+00,M,M1,Leroy
591525.901193364,4733347.41327121,2009/02/12 03:01:11+00,M,M1,Leroy
591941.14038271,4733504.1646272,2009/02/12 09:30:55+00,M,M1,Leroy
591996.414173557,4733639.62223173,2009/02/12 09:45:31+00,M,M1,Leroy
591940.345021357,4733479.05339739,2009/02/12 10:00:18+00,M,M1,Leroy
591940.7776526,4733508.04706677,2009/02/12 10:15:55.999+00,M,M1,Leroy
591962.145104453,4733528.10105381,2009/02/12 10:30:55.998+00,M,M1,Leroy
591951.331301194,4733520.16033814,2009/02/12 10:45:52+00,M,M1,Leroy
591940.937095715,4733513.90230381,2009/02/12 11:00:49.001+00,M,M1,Leroy
592067.760211137,4733228.6222895,2009/02/12 11:15:39.001+00,M,M1,Leroy
592166.845806742,4732743.0132984,2009/02/12 11:31:08.998+00,M,M1,Leroy
592165.806577912,4732562.55254529,2009/02/12 11:46:11+00,M,M1,Leroy
592353.178541959,4732583.76894311,2009/02/13 00:45:43.001+00,M,M1,Leroy
592348.283070481,4732373.65776454,2009/02/13 01:00:25+00,M,M1,Leroy
592299.783036278,4732013.91526802,2009/02/13 01:15:10+00,M,M1,Leroy
592692.15618437,4731609.03802355,2009/02/13 01:30:49.999+00,M,M1,Leroy
592697.262315882,4731583.62824168,2009/02/13 01:45:48+00,M,M1,Leroy
592787.71918678,4731207.51048984,2009/02/13 02:00:16.001+00,M,M1,Leroy
593105.418147709,4730856.14160953,2009/02/13 02:15:57+00,M,M1,Leroy
593402.890016273,4730217.36608361,2009/02/13 02:31:09+00,M,M1,Leroy
593927.754969987,4730228.45226539,2009/02/13 02:46:48.998+00,M,M1,Leroy
594325.078166935,4730143.90929433,2009/02/13 03:01:38.998+00,M,M1,Leroy
594309.024660971,4730160.25015446,2009/02/13 03:30:55.001+00,M,M1,Leroy
594303.9177137,4730161.20230208,2009/02/13 03:45:50.998+00,M,M1,Leroy
594299.829066555,4730140.93265722,2009/02/13 04:00:22+00,M,M1,Leroy
594301.951917793,4730158.82090758,2009/02/13 04:15:06.999+00,M,M1,Leroy
594297.420734798,4730160.79160658,2009/02/13 04:30:50.999+00,M,M1,Leroy
594350.087528737,4730178.85845773,2009/02/13 04:45:16+00,M,M1,Leroy
594271.473841645,4730156.13957605,2009/02/13 05:00:45+00,M,M1,Leroy
594279.017452957,4730144.65831955,2009/02/13 05:16:15.998+00,M,M1,Leroy
594299.509133377,4730141.5724727,2009/02/13 05:31:14.999+00,M,M1,Leroy
594395.292314921,4730035.62362409,2009/02/13 06:16:51.001+00,M,M1,Leroy
594675.475187025,4730320.82740774,2009/02/13 07:00:39.001+00,M,M1,Leroy
594677.013690746,4730322.70326843,2009/02/13 07:15:13.998+00,M,M1,Leroy
594548.418234501,4730545.79560941,2009/02/13 07:30:14.998+00,M,M1,Leroy
594424.430824147,4730793.03210714,2009/02/13 07:45:33+00,M,M1,Leroy
594405.812534165,4730810.78154216,2009/02/13 08:01:01.998+00,M,M1,Leroy
594441.175429567,4730764.98356721,2009/02/13 08:15:39.001+00,M,M1,Leroy
594440.777663045,4730774.91849294,2009/02/13 08:30:50.998+00,M,M1,Leroy
594462.008853933,4730770.32168272,2009/02/13 08:45:27+00,M,M1,Leroy
594439.680901285,4730789.86402931,2009/02/13 09:00:51+00,M,M1,Leroy
594438.950937933,4730778.55869892,2009/02/13 09:15:16.998+00,M,M1,Leroy
594439.091801789,4730798.81896548,2009/02/13 09:30:42.001+00,M,M1,Leroy
594438.961157588,4730791.59792496,2009/02/13 09:45:46+00,M,M1,Leroy
594443.283979006,4730786.87005737,2009/02/13 10:00:07.999+00,M,M1,Leroy
594445.002932395,4730798.9108254,2009/02/13 10:15:44.998+00,M,M1,Leroy
594440.80683753,4730787.1694131,2009/02/13 10:30:12.999+00,M,M1,Leroy
594440.406574407,4730785.89779872,2009/02/13 10:45:19.999+00,M,M1,Leroy
594439.528564575,4730784.23092879,2009/02/13 11:00:11.999+00,M,M1,Leroy
594443.670339678,4730781.96624164,2009/02/13 11:15:20.999+00,M,M1,Leroy
594456.901084574,4730790.5435552,2009/02/13 11:30:51.001+00,M,M1,Leroy
594472.683750329,4730805.93076339,2009/02/13 11:45:40.999+00,M,M1,Leroy
594448.823039398,4730769.84164749,2009/02/13 12:00:42+00,M,M1,Leroy
594438.969858399,4730783.16817444,2009/02/13 12:15:17.998+00,M,M1,Leroy
594419.484055083,4730811.06821361,2009/02/13 12:30:13.999+00,M,M1,Leroy
594434.899788721,4730787.37748958,2009/02/13 12:45:13.999+00,M,M1,Leroy
594425.943923118,4730802.75989616,2009/02/13 13:00:20.999+00,M,M1,Leroy
594621.049082329,4730656.43314354,2009/02/13 13:15:36.998+00,M,M1,Leroy
594567.293563079,4730766.76314662,2009/02/13 13:30:44.999+00,M,M1,Leroy
594571.718520497,4730762.3588436,2009/02/13 13:45:26.998+00,M,M1,Leroy
594573.536320991,4730749.20023255,2009/02/13 14:00:49.001+00,M,M1,Leroy
594273.160955717,4730195.17981189,2009/02/13 14:15:34.001+00,M,M1,Leroy
593785.176938572,4729759.12197781,2009/02/13 14:30:15.998+00,M,M1,Leroy
593684.10763106,4729605.21548152,2009/02/14 00:16:13.001+00,M,M1,Leroy
593677.480309867,4729603.50416,2009/02/14 00:30:09+00,M,M1,Leroy
593768.412631763,4730163.71548108,2009/02/14 00:45:44.998+00,M,M1,Leroy
593334.437759662,4730360.84826845,2009/02/14 01:00:27.998+00,M,M1,Leroy
593101.72884139,4730793.22921807,2009/02/14 01:16:59.001+00,M,M1,Leroy
592962.354646953,4731149.45988624,2009/02/14 01:30:44.998+00,M,M1,Leroy
592730.562851648,4731263.18658241,2009/02/14 01:45:24.998+00,M,M1,Leroy
592331.280053791,4731458.03538863,2009/02/14 02:01:07.001+00,M,M1,Leroy
592059.430925964,4731971.83658253,2009/02/14 02:15:23.001+00,M,M1,Leroy
592063.178803974,4731974.44099629,2009/02/14 02:30:38.999+00,M,M1,Leroy
592043.347900177,4732297.83016699,2009/02/14 02:45:38.998+00,M,M1,Leroy
592127.184142923,4732572.81072898,2009/02/14 03:00:40.001+00,M,M1,Leroy
592138.443397362,4732549.90383296,2009/02/14 03:15:43.998+00,M,M1,Leroy
592144.98685709,4732527.63376896,2009/02/14 04:46:28+00,M,M1,Leroy
592188.426359185,4732561.94358643,2009/02/14 05:00:57+00,M,M1,Leroy
592167.063336942,4732547.50893289,2009/02/14 05:15:50.999+00,M,M1,Leroy
592208.306809287,4732575.20344947,2009/02/14 05:31:33+00,M,M1,Leroy
592167.601501596,4732533.55527593,2009/02/14 05:45:53+00,M,M1,Leroy
592136.677395349,4732511.0520608,2009/02/14 06:01:25.998+00,M,M1,Leroy
592195.103827225,4732571.36212343,2009/02/14 06:16:10+00,M,M1,Leroy
592190.029145464,4732538.76354862,2009/02/14 06:31:37.001+00,M,M1,Leroy
591451.768568654,4733293.82013426,2009/02/14 09:30:55.001+00,M,M1,Leroy
590735.209146812,4733823.54317663,2009/02/14 09:45:17.999+00,M,M1,Leroy
590677.227496722,4733946.84048264,2009/02/14 10:01:15.001+00,M,M1,Leroy
590540.007718363,4733755.05374412,2009/02/14 10:15:18+00,M,M1,Leroy
590555.184592991,4733687.51466188,2009/02/14 10:30:13.998+00,M,M1,Leroy
590270.000414776,4733843.52496211,2009/02/14 10:45:34.998+00,M,M1,Leroy
589923.264927216,4734099.31341096,2009/02/14 11:00:54.998+00,M,M1,Leroy
589825.534625533,4733983.22365293,2009/02/14 11:15:57.999+00,M,M1,Leroy
589575.063756225,4734275.13365171,2009/02/14 11:30:37.001+00,M,M1,Leroy
589033.373090521,4734591.06809745,2009/02/14 12:00:49.001+00,M,M1,Leroy
588738.623647168,4734301.77393371,2009/02/14 12:30:21.998+00,M,M1,Leroy
588480.215423887,4734515.76471498,2009/02/14 12:45:49.001+00,M,M1,Leroy
588104.303487875,4734790.57090356,2009/02/14 13:00:49.001+00,M,M1,Leroy
587922.054242585,4734873.06667321,2009/02/14 13:31:05+00,M,M1,Leroy
589160.235038518,4733952.76733167,2009/02/15 00:15:48.998+00,M,M1,Leroy
588872.153236444,4733397.2799526,2009/02/15 00:30:41.999+00,M,M1,Leroy
588835.073574208,4733167.43496824,2009/02/15 00:45:44.999+00,M,M1,Leroy
588837.105203411,4733171.77035188,2009/02/15 01:00:19.001+00,M,M1,Leroy
588834.228155369,4733165.70261486,2009/02/15 01:15:20+00,M,M1,Leroy
588833.997117297,4733169.66460427,2009/02/15 01:30:41.998+00,M,M1,Leroy
588893.623927033,4733044.24148493,2009/02/15 01:45:50.998+00,M,M1,Leroy
588886.904327518,4733034.61468225,2009/02/15 02:00:36.999+00,M,M1,Leroy
588884.163010428,4733033.90192448,2009/02/15 02:15:13+00,M,M1,Leroy
588885.766908715,4733038.39841286,2009/02/15 02:30:39.001+00,M,M1,Leroy
588893.972126525,4733046.44501933,2009/02/15 02:46:03.998+00,M,M1,Leroy
588888.064738357,4733046.85768475,2009/02/15 03:00:51.999+00,M,M1,Leroy
588887.853789124,4733055.61786658,2009/02/15 03:31:11+00,M,M1,Leroy
588883.576769841,4733081.37395161,2009/02/15 03:46:08.998+00,M,M1,Leroy
588891.694284987,4733054.24567298,2009/02/15 04:00:52+00,M,M1,Leroy
588900.986530069,4733049.70058843,2009/02/15 04:45:54.999+00,M,M1,Leroy
588885.36179866,4733044.43504502,2009/02/15 05:00:13.001+00,M,M1,Leroy
588806.065262872,4733039.27255866,2009/02/15 05:15:16.998+00,M,M1,Leroy
588885.421255226,4733042.35892595,2009/02/15 05:30:11+00,M,M1,Leroy
588889.551871806,4733041.97892744,2009/02/15 05:45:51+00,M,M1,Leroy
588895.49436833,4733042.65513555,2009/02/15 06:00:08.999+00,M,M1,Leroy
588893.21186206,4733042.54802004,2009/02/15 06:15:16.999+00,M,M1,Leroy
588886.50813679,4733038.68560835,2009/02/15 06:30:17+00,M,M1,Leroy
588894.025249522,4733037.22744708,2009/02/15 06:45:17.001+00,M,M1,Leroy
588892.830488506,4733044.83101708,2009/02/15 07:00:34+00,M,M1,Leroy
588803.922458424,4733031.48168951,2009/02/15 07:15:09+00,M,M1,Leroy
589040.482218412,4732973.58619476,2009/02/15 07:30:18.001+00,M,M1,Leroy
588798.366405661,4732988.63980262,2009/02/15 07:45:40.001+00,M,M1,Leroy
588833.354734838,4733157.87252538,2009/02/15 08:16:49.001+00,M,M1,Leroy
588836.366995847,4733169.33967804,2009/02/15 08:30:50.999+00,M,M1,Leroy
588831.156140375,4733162.06465875,2009/02/15 08:45:10+00,M,M1,Leroy
588801.517597579,4733133.22917416,2009/02/15 09:00:19.998+00,M,M1,Leroy
588838.420216364,4733166.26741624,2009/02/15 09:15:17+00,M,M1,Leroy
588831.086920647,4733145.80409924,2009/02/15 09:30:35+00,M,M1,Leroy
588827.357560298,4733158.27297905,2009/02/15 09:45:11.999+00,M,M1,Leroy
588900.122208638,4733109.23051832,2009/02/15 10:00:26+00,M,M1,Leroy
588911.870555535,4733041.68861428,2009/02/15 10:15:51.001+00,M,M1,Leroy
588867.410083946,4733067.97163904,2009/02/15 10:30:11.999+00,M,M1,Leroy
588918.454300391,4733051.69130919,2009/02/15 11:00:47.001+00,M,M1,Leroy
588898.496637259,4733021.18080397,2009/02/15 11:15:48.001+00,M,M1,Leroy
588898.133222703,4733051.32981989,2009/02/15 11:30:48.999+00,M,M1,Leroy
588903.190019895,4733051.49485228,2009/02/15 11:45:43.999+00,M,M1,Leroy
588908.832503409,4733027.777704,2009/02/15 12:00:49+00,M,M1,Leroy
588909.971690245,4733050.57145439,2009/02/15 12:16:31.998+00,M,M1,Leroy
588893.955082638,4733047.13339262,2009/02/15 12:31:27.998+00,M,M1,Leroy
589188.208295739,4732770.002241,2009/02/15 12:45:35+00,M,M1,Leroy
589515.924863176,4732687.06685289,2009/02/15 23:16:43+00,M,M1,Leroy
589506.947967322,4732832.12171277,2009/02/15 23:30:05.999+00,M,M1,Leroy
589494.462268985,4732839.83436851,2009/02/15 23:45:44.999+00,M,M1,Leroy
589502.597318165,4732827.35625333,2009/02/16 00:00:25+00,M,M1,Leroy
589470.660891605,4732843.93530975,2009/02/16 00:15:26+00,M,M1,Leroy
589505.857858677,4732829.69751043,2009/02/16 00:30:10+00,M,M1,Leroy
589671.615261191,4733079.27459932,2009/02/16 00:45:08.998+00,M,M1,Leroy
589892.445816364,4733731.07954539,2009/02/16 01:00:23.001+00,M,M1,Leroy
590243.325638418,4733919.28858168,2009/02/16 01:16:11+00,M,M1,Leroy
590442.114996115,4734376.10833607,2009/02/16 01:31:01.999+00,M,M1,Leroy
590514.623824575,4734516.38857519,2009/02/16 01:45:23+00,M,M1,Leroy
590510.04741115,4734490.89485777,2009/02/16 02:01:21+00,M,M1,Leroy
590518.216408931,4734507.67269455,2009/02/16 02:15:05.998+00,M,M1,Leroy
590496.076354627,4734498.41960561,2009/02/16 02:30:15.001+00,M,M1,Leroy
590493.979707421,4734491.66163059,2009/02/16 02:45:14.999+00,M,M1,Leroy
590506.179292383,4734506.27098984,2009/02/16 03:00:20.999+00,M,M1,Leroy
590492.864207242,4734499.96572828,2009/02/16 03:15:46.001+00,M,M1,Leroy
590487.300902394,4734503.55794376,2009/02/16 03:30:11.001+00,M,M1,Leroy
590488.610435849,4734500.43198479,2009/02/16 03:45:06+00,M,M1,Leroy
590490.487479418,4734502.0892285,2009/02/16 04:00:51.001+00,M,M1,Leroy
590489.992027121,4734503.04899511,2009/02/16 04:15:26+00,M,M1,Leroy
590538.870798135,4734356.82937285,2009/02/16 04:30:17.999+00,M,M1,Leroy
590892.559465323,4734081.07138805,2009/02/16 04:45:21+00,M,M1,Leroy
591063.364706593,4734167.66393083,2009/02/16 05:00:26.999+00,M,M1,Leroy
590772.851796358,4733947.53023806,2009/02/16 05:15:48.999+00,M,M1,Leroy
590714.633069254,4733991.69079635,2009/02/16 05:30:20+00,M,M1,Leroy
590713.147499939,4733998.85714448,2009/02/16 05:45:38.999+00,M,M1,Leroy
590703.931602553,4733995.09318894,2009/02/16 06:00:17.999+00,M,M1,Leroy
590686.641499126,4733986.63626083,2009/02/16 06:15:29.998+00,M,M1,Leroy
590474.760551901,4734481.84714554,2009/02/16 06:30:39+00,M,M1,Leroy
590477.218970981,4734532.20259375,2009/02/16 06:45:15.998+00,M,M1,Leroy
590562.410188864,4734514.0275192,2009/02/16 07:00:22+00,M,M1,Leroy
590435.635315695,4734836.45164528,2009/02/16 07:15:24.999+00,M,M1,Leroy
589982.923373185,4735143.0823484,2009/02/16 07:30:39.999+00,M,M1,Leroy
589693.094563085,4735031.04553187,2009/02/16 07:45:20+00,M,M1,Leroy
589670.990593363,4735027.25988244,2009/02/16 08:01:50.999+00,M,M1,Leroy
589667.879139924,4735051.33147168,2009/02/16 08:16:36.999+00,M,M1,Leroy
589680.855838022,4735018.13638972,2009/02/16 08:30:48.001+00,M,M1,Leroy
589685.581411779,4735034.86848807,2009/02/16 08:45:45.001+00,M,M1,Leroy
589677.163999459,4735032.7044612,2009/02/16 09:00:58.998+00,M,M1,Leroy
589951.458167985,4735323.29600141,2009/02/16 09:15:35.998+00,M,M1,Leroy
590297.253392521,4735720.47868793,2009/02/16 09:30:46.999+00,M,M1,Leroy
590410.902274384,4735335.21772295,2009/02/16 09:45:26+00,M,M1,Leroy
590363.925244132,4734617.16033117,2009/02/16 10:00:51.001+00,M,M1,Leroy
590379.902208401,4734608.29549077,2009/02/16 10:15:35.998+00,M,M1,Leroy
590406.973934014,4734510.90222282,2009/02/16 10:30:38.998+00,M,M1,Leroy
590473.181059751,4734421.87394547,2009/02/16 10:45:24.998+00,M,M1,Leroy
590506.313460404,4734352.4153696,2009/02/16 11:01:09.001+00,M,M1,Leroy
590501.906169529,4734350.22517184,2009/02/16 11:15:51+00,M,M1,Leroy
590503.443599324,4734345.32517368,2009/02/16 11:30:16+00,M,M1,Leroy
590498.918264992,4734354.63969082,2009/02/16 11:45:20.999+00,M,M1,Leroy
590503.545660122,4734343.78271773,2009/02/16 12:00:25.999+00,M,M1,Leroy
590500.891261784,4734354.59890984,2009/02/16 12:15:11.999+00,M,M1,Leroy
590500.204676688,4734355.77829943,2009/02/16 12:30:45.001+00,M,M1,Leroy
590495.997742997,4734362.03161694,2009/02/16 12:45:43.998+00,M,M1,Leroy
590506.313344514,4734347.42858152,2009/02/16 13:00:25.998+00,M,M1,Leroy
590500.022607567,4734342.19275116,2009/02/16 13:16:04.001+00,M,M1,Leroy
590475.097257028,4734361.20242202,2009/02/16 13:30:55+00,M,M1,Leroy
590511.935792034,4734351.82267613,2009/02/16 14:00:43.001+00,M,M1,Leroy
590499.451924326,4734352.01446119,2009/02/16 14:15:48.999+00,M,M1,Leroy
590496.48858282,4734337.69275845,2009/02/16 14:30:59.001+00,M,M1,Leroy
590503.179277161,4734356.75022458,2009/02/16 14:45:45+00,M,M1,Leroy
590505.46042894,4734350.68269279,2009/02/16 15:01:33.001+00,M,M1,Leroy
590504.530824211,4734351.67008755,2009/02/16 15:30:54.998+00,M,M1,Leroy
590500.599508106,4734325.65173371,2009/02/16 15:46:34+00,M,M1,Leroy
590494.964683367,4734368.41538144,2009/02/16 16:00:50.999+00,M,M1,Leroy
590497.986429449,4734311.45679234,2009/02/16 16:16:08.999+00,M,M1,Leroy
590474.960816894,4734349.12794764,2009/02/16 16:30:45.001+00,M,M1,Leroy
590499.009400936,4734348.31022094,2009/02/16 16:45:19.001+00,M,M1,Leroy
590505.679778431,4734337.0690861,2009/02/16 17:01:33+00,M,M1,Leroy
590529.030208447,4734377.64708339,2009/02/16 17:31:14.001+00,M,M1,Leroy
590500.531581229,4734345.19815733,2009/02/16 17:45:43.998+00,M,M1,Leroy
590510.206926738,4734370.70315785,2009/02/16 18:00:54.001+00,M,M1,Leroy
590506.608128992,4734345.54435227,2009/02/16 18:15:45+00,M,M1,Leroy
590509.682224398,4734354.53642591,2009/02/16 18:30:19+00,M,M1,Leroy
590499.906359277,4734329.82977294,2009/02/16 18:45:16+00,M,M1,Leroy
590501.108112885,4734329.93437422,2009/02/16 19:00:47+00,M,M1,Leroy
590511.340628153,4734337.90962597,2009/02/16 19:15:50.998+00,M,M1,Leroy
590472.529144213,4734334.20236922,2009/02/16 19:30:51.998+00,M,M1,Leroy
590540.139006823,4734301.30274444,2009/02/16 20:01:20.001+00,M,M1,Leroy
590523.262809605,4734331.86851663,2009/02/16 20:15:56.001+00,M,M1,Leroy
590497.123842515,4734338.55627865,2009/02/16 20:31:20.999+00,M,M1,Leroy
590499.878326222,4734357.57326381,2009/02/16 20:45:48+00,M,M1,Leroy
590502.031151738,4734353.8030799,2009/02/16 21:00:55.001+00,M,M1,Leroy
590558.692523278,4734414.9538019,2009/02/16 21:15:50.999+00,M,M1,Leroy
590504.485645953,4734340.12991601,2009/02/16 21:30:51+00,M,M1,Leroy
590501.764000735,4734350.45654357,2009/02/16 21:45:11.001+00,M,M1,Leroy
590500.580018561,4734346.49824427,2009/02/16 22:00:57+00,M,M1,Leroy
590485.200019622,4734319.74122578,2009/02/16 22:15:59.001+00,M,M1,Leroy
590503.730147862,4734339.69796995,2009/02/16 22:30:50.998+00,M,M1,Leroy
590500.657529421,4734344.95546655,2009/02/16 22:45:51.998+00,M,M1,Leroy
590555.187180867,4734576.77299707,2009/02/16 23:01:24.001+00,M,M1,Leroy
590795.554592731,4734179.91988268,2009/02/16 23:16:43.999+00,M,M1,Leroy
592023.629813964,4733596.68059591,2009/02/17 00:00:43+00,M,M1,Leroy
592099.392154578,4733276.3908872,2009/02/17 00:15:59.998+00,M,M1,Leroy
592383.958115611,4733044.93306353,2009/02/17 00:30:38+00,M,M1,Leroy
592340.766496864,4732588.13449139,2009/02/17 00:45:51+00,M,M1,Leroy
592167.103129878,4732331.5552496,2009/02/17 01:01:23.998+00,M,M1,Leroy
591360.571281097,4732291.51220479,2009/02/17 01:16:16.999+00,M,M1,Leroy
590618.970870015,4733227.8014299,2009/02/17 02:01:29.999+00,M,M1,Leroy
590620.896988516,4733217.6310099,2009/02/17 02:45:49.001+00,M,M1,Leroy
590635.896143911,4733218.04992186,2009/02/17 03:00:50.998+00,M,M1,Leroy
590642.882033095,4733219.04120499,2009/02/17 03:15:25+00,M,M1,Leroy
590637.438193925,4733218.43666653,2009/02/17 03:30:16+00,M,M1,Leroy
590645.468629993,4733219.67489254,2009/02/17 03:45:21+00,M,M1,Leroy
590482.771429691,4733371.80989148,2009/02/17 04:15:36+00,M,M1,Leroy
590040.188786855,4733000.7486455,2009/02/17 04:31:28.999+00,M,M1,Leroy
589624.01099617,4732368.91604214,2009/02/17 05:01:49.998+00,M,M1,Leroy
588745.403850768,4733032.52891633,2009/02/17 05:46:12.998+00,M,M1,Leroy
588744.188621239,4733027.08231205,2009/02/17 06:01:18.998+00,M,M1,Leroy
588741.306475308,4733030.32165411,2009/02/17 06:15:21.998+00,M,M1,Leroy
589277.279849932,4733201.02389219,2009/02/17 06:30:23.001+00,M,M1,Leroy
589728.181904988,4733132.08687335,2009/02/17 06:46:13.001+00,M,M1,Leroy
589786.68767733,4732425.87121484,2009/02/17 07:01:12.999+00,M,M1,Leroy
590289.107830547,4731789.93644623,2009/02/17 07:15:35.998+00,M,M1,Leroy
590850.413926851,4731171.88044828,2009/02/17 07:30:49.001+00,M,M1,Leroy
591169.757489368,4731233.92720345,2009/02/17 07:46:27.998+00,M,M1,Leroy
590990.550832082,4731309.765961,2009/02/17 08:01:06.001+00,M,M1,Leroy
591231.006225795,4731872.76534248,2009/02/17 08:16:20.998+00,M,M1,Leroy
591057.378115093,4731943.34456464,2009/02/17 08:31:21+00,M,M1,Leroy
591367.513333205,4731921.88212558,2009/02/17 08:45:44.999+00,M,M1,Leroy
591780.945880255,4732076.58677758,2009/02/17 09:00:11.999+00,M,M1,Leroy
592122.012463834,4732543.16524103,2009/02/17 09:15:15.001+00,M,M1,Leroy
592128.567123275,4732543.99677101,2009/02/17 09:30:33.999+00,M,M1,Leroy
592370.504729664,4732366.74668893,2009/02/17 09:45:52.999+00,M,M1,Leroy
592381.551296837,4732616.39037108,2009/02/17 10:00:45+00,M,M1,Leroy
592409.015713711,4732913.36751044,2009/02/17 10:16:29.001+00,M,M1,Leroy
592718.849197796,4732661.55836457,2009/02/17 10:30:33+00,M,M1,Leroy
592724.207731488,4732656.34358328,2009/02/17 10:45:38.999+00,M,M1,Leroy
592721.690504532,4732660.29703459,2009/02/17 11:00:21.999+00,M,M1,Leroy
592710.394442759,4732641.27550447,2009/02/17 11:15:10.998+00,M,M1,Leroy
592346.731041817,4732639.23738797,2009/02/17 11:31:07.998+00,M,M1,Leroy
592701.662832129,4732061.89915677,2009/02/17 23:01:49+00,M,M1,Leroy
592710.349982254,4731585.81406146,2009/02/17 23:15:52+00,M,M1,Leroy
592928.094081009,4731517.94556771,2009/02/17 23:30:22.998+00,M,M1,Leroy
